observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/BFA,2020,0.0491,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BFA,2021,15383600000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BFA,2021,0.0713,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BFA,2021,41.04,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BDI,2020,4143600000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BDI,2020,0.0187,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BDI,2021,4746800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BDI,2021,0.022,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BDI,2021,14.56,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/CAF,2020,3952700000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CAF,2020,0.0178,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CAF,2021,1756700000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CAF,2021,0.0081,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CAF,2021,-55.56,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/KHM,2020,13317700000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/KHM,2020,0.06,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/KHM,2021,12475200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/KHM,2021,0.0578,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/KHM,2021,-6.33,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/CMR,2020,16212400000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CMR,2020,0.073,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CMR,2021,20633500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CMR,2021,0.0956,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CMR,2021,27.27,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/CAN,2020,202148400000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CAN,2020,0.9106,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CAN,2021,219131600000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CAN,2021,1.0149,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CAN,2021,8.4,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/CPV,2020,154200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CPV,2020,0.0007,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CPV,2021,245300000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CPV,2021,0.0011,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CPV,2021,59.12,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/CYM,2020,469800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CYM,2020,0.0021,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CYM,2021,318800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/CYM,2021,0.0015,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/CYM,2021,-32.15,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TCD,2020,4172800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TCD,2020,0.0188,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TCD,2021,4378600000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TCD,2021,0.0203,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TCD,2021,4.93,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
