observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,8322100000,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,INR,ExportsInUSD
country/IND,2020,0.0375,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,9532800000,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,INR,ExportsInUSD
country/IND,2021,0.0442,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,14.55,dcid:GrowthRate_Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,Percent,ExportsInUSD
country/IND,2020,793400000,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods,INR,ExportsInUSD
country/IND,2020,0.0036,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,724900000,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods,INR,ExportsInUSD
country/IND,2021,0.0034,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-8.63,dcid:GrowthRate_Exports_EconomicActivity_PhotographicOrCinematographicGoods,Percent,ExportsInUSD
country/IND,2020,356629300000,dcid:Exports_EconomicActivity_ChemicalProductsNEC,INR,ExportsInUSD
country/IND,2020,1.6065,dcid:Exports_EconomicActivity_ChemicalProductsNEC_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,378860600000,dcid:Exports_EconomicActivity_ChemicalProductsNEC,INR,ExportsInUSD
