observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2007,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,866000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,908000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,956000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1029000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1119000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1164000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1209000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1232000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1277000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1374000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1469000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1567000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1676000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1747000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1848000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,1956000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2023,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,2124000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,45000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,46000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,48000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,57000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,56000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,57000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,58000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,59000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,59000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,60000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,60000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,61000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,68000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,67000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,54000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,51000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,55000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,57000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,61000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,60000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,63000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,64000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2023,wikidataId/Q1171,dcid:NDAP_MilkProduction_Statewise,64000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,5862000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,6089000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,6421000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,6745000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,6960000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,7533000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
