observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,5242800000,dcid:Exports_EconomicActivity_OresSlagAndAsh,USDollar,ExportsInUSD
country/IND,2021,1.7967,dcid:Exports_EconomicActivity_OresSlagAndAsh_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,65.84,dcid:GrowthRate_Exports_EconomicActivity_OresSlagAndAsh,Percent,ExportsInUSD
country/IND,2020,42708830000,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,USDollar,ExportsInUSD
country/IND,2020,13.6293,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,26907730000,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,USDollar,ExportsInUSD
country/IND,2021,9.221,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-37,dcid:GrowthRate_Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,Percent,ExportsInUSD
country/IND,2020,1764250000,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,USDollar,ExportsInUSD
country/IND,2020,0.563,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1661430000,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,USDollar,ExportsInUSD
country/IND,2021,0.5694,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-5.83,dcid:GrowthRate_Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,Percent,ExportsInUSD
country/IND,2020,17487280000,dcid:Exports_EconomicActivity_OrganicChemicals,USDollar,ExportsInUSD
country/IND,2020,5.5806,dcid:Exports_EconomicActivity_OrganicChemicals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17949730000,dcid:Exports_EconomicActivity_OrganicChemicals,USDollar,ExportsInUSD
country/IND,2021,6.1512,dcid:Exports_EconomicActivity_OrganicChemicals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,2.64,dcid:GrowthRate_Exports_EconomicActivity_OrganicChemicals,Percent,ExportsInUSD
country/IND,2020,16289260000,dcid:Exports_EconomicActivity_PharmaceuticalProducts,USDollar,ExportsInUSD
country/IND,2020,5.1982,dcid:Exports_EconomicActivity_PharmaceuticalProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,19384030000,dcid:Exports_EconomicActivity_PharmaceuticalProducts,USDollar,ExportsInUSD
country/IND,2021,6.6427,dcid:Exports_EconomicActivity_PharmaceuticalProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,19,dcid:GrowthRate_Exports_EconomicActivity_PharmaceuticalProducts,Percent,ExportsInUSD
country/IND,2020,117450000,dcid:Exports_EconomicActivity_Fertilizers,USDollar,ExportsInUSD
country/IND,2020,0.0375,dcid:Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,104960000,dcid:Exports_EconomicActivity_Fertilizers,USDollar,ExportsInUSD
country/IND,2021,0.036,dcid:Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-10.64,dcid:GrowthRate_Exports_EconomicActivity_Fertilizers,Percent,ExportsInUSD
country/IND,2020,3446000000,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,USDollar,ExportsInUSD
country/IND,2020,1.0997,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,3062660000,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,USDollar,ExportsInUSD
country/IND,2021,1.0495,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-11.12,dcid:GrowthRate_Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,Percent,ExportsInUSD
country/IND,2020,2202490000,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,USDollar,ExportsInUSD
country/IND,2020,0.7029,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1916450000,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,USDollar,ExportsInUSD
country/IND,2021,0.6567,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-12.99,dcid:GrowthRate_Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,Percent,ExportsInUSD
country/IND,2020,629300000,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,USDollar,ExportsInUSD
country/IND,2020,0.2008,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,708260000,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,USDollar,ExportsInUSD
country/IND,2021,0.2427,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,12.55,dcid:GrowthRate_Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,Percent,ExportsInUSD
country/IND,2020,223240000,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,USDollar,ExportsInUSD
country/IND,2020,0.0712,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,251680000,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,USDollar,ExportsInUSD
country/IND,2021,0.0862,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,12.74,dcid:GrowthRate_Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,Percent,ExportsInUSD
country/IND,2020,117630000,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,USDollar,ExportsInUSD
country/IND,2020,0.0375,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,128900000,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,USDollar,ExportsInUSD
country/IND,2021,0.0442,dcid:Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,9.58,dcid:GrowthRate_Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,Percent,ExportsInUSD
country/IND,2020,11190000,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods,USDollar,ExportsInUSD
country/IND,2020,0.0036,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,9800000,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods,USDollar,ExportsInUSD
country/IND,2021,0.0034,dcid:Exports_EconomicActivity_PhotographicOrCinematographicGoods_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-12.38,dcid:GrowthRate_Exports_EconomicActivity_PhotographicOrCinematographicGoods,Percent,ExportsInUSD
country/IND,2020,5032540000,dcid:Exports_EconomicActivity_ChemicalProductsNEC,USDollar,ExportsInUSD
